title,director,genre_1,genre_2,actors,movie_release,average_rating,top_reviewer,top_review_rating,top_review_text,release_date
Barbie,Greta Gerwig,Comedy,Adventure,Margot Robbie,2023,3.8,bimbim,5.0,s(he's) bro(ken),2024-11-10
Parasite,Bong Joon-ho,Comedy,Thriller,Song Kang-ho,2019,4.6,Matt Singer,0.0,Another Bong hit.,2024-11-11
Fight Club,David Fincher,Drama,,Edward Norton,1999,4.3,gal pacino,5.0,"first watch: fight club is the best movie ever made
second watch: fight club is a deep commentary on the dangers of consumerism
third watch: fight club is a disgusting cesspool of toxic masculinity and it’s not as deep as its fanboys think it is
fourth watch: fight club is a critique of toxic masculinity and it’s deeper than its fanboys think it is
fifth watch: fight club is the best satirical gay romcom ever made",2024-11-12
Everything Everywhere All at Once,Daniel Scheinert,Science Fiction,Adventure,Michelle Yeoh,2022,4.3,Karsten,4.0,easily one of the top 5 movies about taxes,2024-11-13
La La Land,Damien Chazelle,Drama,Comedy,Ryan Gosling,2016,4.1,Lucy,5.0,this cured my depression and brought it back full force in the span of 2 hours,2024-11-14
Interstellar,Christopher Nolan,Science Fiction,Drama,Matthew McConaughey,2014,4.4,<3,5.0,tell me you wouldn't cry too if your son grows up to be casey affleck,2024-11-15
Oppenheimer,Christopher Nolan,History,Drama,Cillian Murphy,2023,4.2,justinwuah,5.0,"watching this after i just watched barbie, call me atomic blonde",2024-11-16
Joker,Todd Phillips,Crime,Drama,Joaquin Phoenix,2019,3.8,Joao,1.0,if you’ve never swam in the ocean then of course a pool seems deep.,2024-11-17
Pulp Fiction,Quentin Tarantino,Crime,Thriller,John Travolta,1994,4.3,kas17,3.0,a good movie but god imagine my fucking disappointment when i found out the movie wasn't all about mia wallace nobody cares about you bruce willis,2024-11-18
Whiplash,Damien Chazelle,Drama,Music,Miles Teller,2014,4.4,mommy longlegs,5.0,i had a dream that j.k. simmons yelled at me and i woke up crying,2024-11-19
Dune,Denis Villeneuve,Science Fiction,Adventure,Timothée Chalamet,2021,3.9,Karsten,4.5,got the 4D experience by forgetting to drink water today and watching this extremely dehydrated,2024-11-20
Spider-Man: Into the Spider-Verse,Bob Persichetti,Adventure,Animation,Shameik Moore,2018,4.4,Ralph,5.0,"The best spider-man film. Beyond being funny, creative, and wonderfully animated, it truly has an understanding of the character of Spider-Man.",2024-11-21
Get Out,Jordan Peele,Horror,Mystery,Daniel Kaluuya,2017,4.2,mememily,4.5,"my favorite commentary that I've read about this movie was from Rian Johnson who said ""I love that if the movie Get Out existed in the world of Get Out, the parents would have told Chris how much they loved Get Out""",2024-11-22
