title,director,genre_1,genre_2,actors,movie_release,average_rating,top_reviewer,top_review_rating,top_review_text,poster_url,release_date
Jojo Rabbit,Taika Waititi,War,Drama,Roman Griffin Davis,2019,4.0,emily,4.0,"sorry tarantino, taika’s the only director that can give me chills by filming a woman’s feet",https://a.ltrbxd.com/resized/film-poster/4/4/4/6/0/0/444600-jojo-rabbit-0-230-0-345-crop.jpg?v=a5ad083635,2024-12-02
Jojo Rabbit,Taika Waititi,War,Drama,Roman Griffin Davis,2019,4.0,LetMeExplain,4.0,Taika’s Inglourious Moonrise Kingdom,https://a.ltrbxd.com/resized/film-poster/4/4/4/6/0/0/444600-jojo-rabbit-0-230-0-345-crop.jpg?v=a5ad083635,2024-12-02
Arrival,Denis Villeneuve,Science Fiction,Mystery,Amy Adams,2016,4.1,cathy,5.0,"memory is a strange thing. for example, i remember amy adams's performance as being one of the best of 2016, but the academy seemed to remember differently",https://a.ltrbxd.com/resized/sm/upload/3u/dy/qd/qd/4Iu5f2nv7huqvuYkmZvSPOtbFjs-0-230-0-345-crop.jpg?v=0fc28fdf2c,2024-12-03
Deadpool,Tim Miller,Action,Comedy,Ryan Reynolds,2016,3.7,dumbsville,4.0,You can now officially watch a pegging scene on Disney+.,https://a.ltrbxd.com/resized/film-poster/2/2/0/5/7/5/220575-deadpool-0-230-0-345-crop.jpg?v=2f726ea9b3,2024-12-04
Deadpool,Tim Miller,Action,Comedy,Ryan Reynolds,2016,3.7,adambolt,4.0,funny swearing man says the fuck word,https://a.ltrbxd.com/resized/film-poster/2/2/0/5/7/5/220575-deadpool-0-230-0-345-crop.jpg?v=2f726ea9b3,2024-12-04
Black Panther,Ryan Coogler,Adventure,Science Fiction,Chadwick Boseman,2018,3.7,Houston Coley,5.0,Long live the king. Wakanda Forever.,https://a.ltrbxd.com/resized/film-poster/2/0/9/3/8/3/209383-black-panther-0-230-0-345-crop.jpg?v=d6e7e2c7a4,2024-12-05
Past Lives,Celine Song,Drama,Romance,Greta Lee,2023,4.2,Jay,4.0,"found a version without subtitles, to get the full arthur experience",https://a.ltrbxd.com/resized/film-poster/5/9/1/0/5/3/591053-past-lives-0-230-0-345-crop.jpg?v=c600b7854e,2024-12-07
Past Lives,Celine Song,Drama,Romance,Greta Lee,2023,4.2,Ayo Edebiri,5.0,You know when a movie is directly made for you to feel ripped apart into 1 million pieces but that feeling alone makes you feel like a complete person and then you get to drive alone home and cry to Radiohead? Yeah :) yeah one of those ones for lil ol’ Edebiri (me!),https://a.ltrbxd.com/resized/film-poster/5/9/1/0/5/3/591053-past-lives-0-230-0-345-crop.jpg?v=c600b7854e,2024-12-07
Pearl,Ti West,Horror,Drama,Mia Goth,2022,3.7,hollie amanda,4.0,the director yelled “cut!” but mia goth heard “cunt!” and just went with it,https://a.ltrbxd.com/resized/film-poster/8/5/3/8/2/2/853822-pearl-0-230-0-345-crop.jpg?v=471dfc4a24,2024-12-08
Pearl,Ti West,Horror,Drama,Mia Goth,2022,3.7,Emma 🔆,4.0,"Babe wake up, new A24 dinner monologue just dropped",https://a.ltrbxd.com/resized/film-poster/8/5/3/8/2/2/853822-pearl-0-230-0-345-crop.jpg?v=471dfc4a24,2024-12-08
Coco,Lee Unkrich,Adventure,Animation,Anthony Gonzalez,2017,4.1,Matt Singer,4.0,"A story about death, murder, loss, grief, aging, dementia, living skeletons, and deadbeat dads.
Y’know, a kids movie.",https://a.ltrbxd.com/resized/sm/upload/3p/mh/wq/v9/6Ryitt95xrO8KXuqRGm1fUuNwqF-0-230-0-345-crop.jpg?v=2a90bd6512,2024-12-09
Coco,Lee Unkrich,Adventure,Animation,Anthony Gonzalez,2017,4.1,David Sims,4.0,"Me: Ah, there's already so many good animated movies about the process of death and family and letting go, what new is there to offer
Pixar: We made a movie where DEAD PEOPLE CAN DIE IF EVERYONE FORGETS ABOUT THEM
Me: *is unbearably devastated*",https://a.ltrbxd.com/resized/sm/upload/3p/mh/wq/v9/6Ryitt95xrO8KXuqRGm1fUuNwqF-0-230-0-345-crop.jpg?v=2a90bd6512,2024-12-09
Titanic,James Cameron,Drama,Romance,Leonardo DiCaprio,1997,3.8,Wood,3.0,"Watched this for the first time as GOD intended, on two VHS tapes.",https://a.ltrbxd.com/resized/film-poster/5/1/5/2/4/51524-titanic-0-230-0-345-crop.jpg?v=7517ea94ce,2024-12-10
Titanic,James Cameron,Drama,Romance,Leonardo DiCaprio,1997,3.8,robert,0.0,haha wow fucked up if true,https://a.ltrbxd.com/resized/film-poster/5/1/5/2/4/51524-titanic-0-230-0-345-crop.jpg?v=7517ea94ce,2024-12-10
Titanic,James Cameron,Drama,Romance,Leonardo DiCaprio,1997,3.8,Karsten,5.0,the way of water,https://a.ltrbxd.com/resized/film-poster/5/1/5/2/4/51524-titanic-0-230-0-345-crop.jpg?v=7517ea94ce,2024-12-10
Mean Girls,Mark Waters,Comedy,Drama,Lindsay Lohan,2004,3.8,Lucy,5.0,i still remember the specific feeling of being 10 years old and watching this for the first time. i thought “this is the best movie i’ve ever seen in my life” and that’s still true,https://a.ltrbxd.com/resized/film-poster/4/6/0/4/9/46049-mean-girls-0-230-0-345-crop.jpg?v=e6378abb7b,2024-12-11
Coraline,Henry Selick,Animation,Horror,Dakota Fanning,2009,4.2,Karsten,4.5,Other Mother has a dumper,https://a.ltrbxd.com/resized/film-poster/4/2/7/7/9/42779-coraline-0-230-0-345-crop.jpg?v=b792483e2a,2024-12-12
Coraline,Henry Selick,Animation,Horror,Dakota Fanning,2009,4.2,aaron,4.0,I'm in complete awe of how every single frame is a literal work of art,https://a.ltrbxd.com/resized/film-poster/4/2/7/7/9/42779-coraline-0-230-0-345-crop.jpg?v=b792483e2a,2024-12-12
Coraline,Henry Selick,Animation,Horror,Dakota Fanning,2009,4.2,may ♡,5.0,child neglect but make it family friendly,https://a.ltrbxd.com/resized/film-poster/4/2/7/7/9/42779-coraline-0-230-0-345-crop.jpg?v=b792483e2a,2024-12-12
Mad Max: Fury Road,George Miller,Adventure,Science Fiction,Tom Hardy,2015,4.2,Roberto_,5.0,can we talk about the guy who just keeps playing his guitar? everything around him is blowing up but he only cares about his music. my new life goal is to become as optimistic as he is! i love guitar guy so much!,https://a.ltrbxd.com/resized/film-poster/6/2/7/8/0/62780-mad-max-fury-road-0-230-0-345-crop.jpg?v=37c5424b1f,2024-12-13
Mad Max: Fury Road,George Miller,Adventure,Science Fiction,Tom Hardy,2015,4.2,Patrick Willems,5.0,Few movies in history have ever whipped quite this hard,https://a.ltrbxd.com/resized/film-poster/6/2/7/8/0/62780-mad-max-fury-road-0-230-0-345-crop.jpg?v=37c5424b1f,2024-12-13
Up,Pete Docter,Animation,Adventure,Ed Asner,2009,4.1,Jeremy Bronson,5.0,"One hundred years from now, film scholars will study the 15 wordless minutes near the beginning of this movie as one of the finest examples of storytelling across any medium or genre. I say this without threat of hyperbole.",https://a.ltrbxd.com/resized/film-poster/4/3/3/0/2/43302-up-0-230-0-345-crop.jpg?v=eac6a19a4c,2024-12-14
Howl's Moving Castle,Hayao Miyazaki,Fantasy,Adventure,Chieko Baisho,2004,4.3,sai,5.0,sophie walking into howl's castle for the first time: damn bitch you live like this?,https://a.ltrbxd.com/resized/film-poster/4/9/0/6/2/49062-howl-s-moving-castle-0-230-0-345-crop.jpg?v=fde81bda52,2024-12-15
