title,url
Magnolia,https://letterboxd.com/film/magnolia/
Groundhog Day,https://letterboxd.com/film/groundhog-day/
I'm Thinking of Ending Things,https://letterboxd.com/film/im-thinking-of-ending-things/
Squid Game,https://letterboxd.com/film/squid-game/
American Fiction,https://letterboxd.com/film/american-fiction/
12 Years a Slave,https://letterboxd.com/film/12-years-a-slave/
Life of Pi,https://letterboxd.com/film/life-of-pi/
Finding Dory,https://letterboxd.com/film/finding-dory/
Fresh,https://letterboxd.com/film/fresh-2022/
Despicable Me,https://letterboxd.com/film/despicable-me/
The Parent Trap,https://letterboxd.com/film/the-parent-trap-1998/
What We Do in the Shadows,https://letterboxd.com/film/what-we-do-in-the-shadows/
Boogie Nights,https://letterboxd.com/film/boogie-nights/
Aladdin,https://letterboxd.com/film/aladdin/
Monsters University,https://letterboxd.com/film/monsters-university/
Casino Royale,https://letterboxd.com/film/casino-royale-2006/
Elf,https://letterboxd.com/film/elf/
The Hobbit: An Unexpected Journey,https://letterboxd.com/film/the-hobbit-an-unexpected-journey/
It's a Wonderful Life,https://letterboxd.com/film/its-a-wonderful-life/
Megamind,https://letterboxd.com/film/megamind/
Nocturnal Animals,https://letterboxd.com/film/nocturnal-animals/
The Wizard of Oz,https://letterboxd.com/film/the-wizard-of-oz-1939/
American History X,https://letterboxd.com/film/american-history-x/
Hit Man,https://letterboxd.com/film/hit-man-2023/
Possession,https://letterboxd.com/film/possession/
Singin' in the Rain,https://letterboxd.com/film/singin-in-the-rain/
Dawn of the Planet of the Apes,https://letterboxd.com/film/dawn-of-the-planet-of-the-apes/
The Emperor's New Groove,https://letterboxd.com/film/the-emperors-new-groove/
The Lego Batman Movie,https://letterboxd.com/film/the-lego-batman-movie/
Casino,https://letterboxd.com/film/casino/
The Invisible Man,https://letterboxd.com/film/the-invisible-man-2020/
Men in Black,https://letterboxd.com/film/men-in-black/
Indiana Jones and the Last Crusade,https://letterboxd.com/film/indiana-jones-and-the-last-crusade/
Seven Samurai,https://letterboxd.com/film/seven-samurai/
Ice Age,https://letterboxd.com/film/ice-age/
Dazed and Confused,https://letterboxd.com/film/dazed-and-confused/
Raging Bull,https://letterboxd.com/film/raging-bull/
The Babadook,https://letterboxd.com/film/the-babadook/
Paprika,https://letterboxd.com/film/paprika-2006/
The Girl with the Dragon Tattoo,https://letterboxd.com/film/the-girl-with-the-dragon-tattoo-2011/
The Power of the Dog,https://letterboxd.com/film/the-power-of-the-dog/
Eraserhead,https://letterboxd.com/film/eraserhead/
Lilo & Stitch,https://letterboxd.com/film/lilo-stitch/
X-Men: First Class,https://letterboxd.com/film/x-men-first-class/
Atonement,https://letterboxd.com/film/atonement/
Jumanji: Welcome to the Jungle,https://letterboxd.com/film/jumanji-welcome-to-the-jungle/
WandaVision,https://letterboxd.com/film/wandavision/
Cocaine Bear,https://letterboxd.com/film/cocaine-bear/
Venom: Let There Be Carnage,https://letterboxd.com/film/venom-let-there-be-carnage/
Batman v Superman: Dawn of Justice,https://letterboxd.com/film/batman-v-superman-dawn-of-justice/
Napoleon,https://letterboxd.com/film/napoleon-2023/
Paddington,https://letterboxd.com/film/paddington/
Sorry to Bother You,https://letterboxd.com/film/sorry-to-bother-you/
The Platform,https://letterboxd.com/film/the-platform/
Madagascar,https://letterboxd.com/film/madagascar/
Matilda,https://letterboxd.com/film/matilda/
Solo: A Star Wars Story,https://letterboxd.com/film/solo-a-star-wars-story/
White Chicks,https://letterboxd.com/film/white-chicks/
Zoolander,https://letterboxd.com/film/zoolander/
The Pursuit of Happyness,https://letterboxd.com/film/the-pursuit-of-happyness/
Persona,https://letterboxd.com/film/persona/
Being John Malkovich,https://letterboxd.com/film/being-john-malkovich/
Roma,https://letterboxd.com/film/roma-2018/
The Twilight Saga: New Moon,https://letterboxd.com/film/the-twilight-saga-new-moon/
Home Alone 2: Lost in New York,https://letterboxd.com/film/home-alone-2-lost-in-new-york/
Immaculate,https://letterboxd.com/film/immaculate-2024/
The Darjeeling Limited,https://letterboxd.com/film/the-darjeeling-limited/
How the Grinch Stole Christmas,https://letterboxd.com/film/how-the-grinch-stole-christmas-2000/
Scream 2,https://letterboxd.com/film/scream-2/
Raw,https://letterboxd.com/film/raw-2016/
Enemy,https://letterboxd.com/film/enemy/
The Secret Life of Walter Mitty,https://letterboxd.com/film/the-secret-life-of-walter-mitty-2013/
