title,director,genre_1,genre_2,actors,movie_release,average_rating,top_reviewer,top_review_rating,top_review_text,poster_url,release_date
Barbie,Greta Gerwig,Comedy,Adventure,Margot Robbie,2023,3.8,bimbim,5.0,s(he's) bro(ken),https://a.ltrbxd.com/resized/film-poster/2/7/7/0/6/4/277064-barbie-0-230-0-345-crop.jpg?v=1b83dc7a71,2024-11-12
Parasite,Bong Joon-ho,Comedy,Thriller,Song Kang-ho,2019,4.6,Matt Singer,0.0,Another Bong hit.,https://a.ltrbxd.com/resized/film-poster/4/2/6/4/0/6/426406-parasite-0-230-0-345-crop.jpg?v=8f5653f710,2024-11-13
Fight Club,David Fincher,Drama,,Edward Norton,1999,4.3,gal pacino,5.0,"first watch: fight club is the best movie ever made
second watch: fight club is a deep commentary on the dangers of consumerism
third watch: fight club is a disgusting cesspool of toxic masculinity and it’s not as deep as its fanboys think it is
fourth watch: fight club is a critique of toxic masculinity and it’s deeper than its fanboys think it is
fifth watch: fight club is the best satirical gay romcom ever made",https://a.ltrbxd.com/resized/film-poster/5/1/5/6/8/51568-fight-club-0-230-0-345-crop.jpg?v=768b32dfa4,2024-11-14
Everything Everywhere All at Once,Daniel Scheinert,Science Fiction,Adventure,Michelle Yeoh,2022,4.3,Karsten,4.0,easily one of the top 5 movies about taxes,https://a.ltrbxd.com/resized/film-poster/4/7/4/4/7/4/474474-everything-everywhere-all-at-once-0-230-0-345-crop.jpg?v=281f1a041e,2024-11-15
La La Land,Damien Chazelle,Drama,Comedy,Ryan Gosling,2016,4.1,Lucy,5.0,this cured my depression and brought it back full force in the span of 2 hours,https://a.ltrbxd.com/resized/film-poster/2/4/0/3/4/4/240344-la-la-land-0-230-0-345-crop.jpg?v=053670ff84,2024-11-16
Interstellar,Christopher Nolan,Science Fiction,Drama,Matthew McConaughey,2014,4.4,<3,5.0,tell me you wouldn't cry too if your son grows up to be casey affleck,https://a.ltrbxd.com/resized/film-poster/1/1/7/6/2/1/117621-interstellar-0-230-0-345-crop.jpg?v=7ad89e6666,2024-11-17
Oppenheimer,Christopher Nolan,History,Drama,Cillian Murphy,2023,4.2,justinwuah,5.0,"watching this after i just watched barbie, call me atomic blonde",https://a.ltrbxd.com/resized/film-poster/7/8/4/3/2/8/784328-oppenheimer-0-230-0-345-crop.jpg?v=e3c6e7a32c,2024-11-18
Joker,Todd Phillips,Crime,Drama,Joaquin Phoenix,2019,3.8,Joao,1.0,if you’ve never swam in the ocean then of course a pool seems deep.,https://a.ltrbxd.com/resized/film-poster/4/0/6/7/7/5/406775-joker-0-230-0-345-crop.jpg?v=e4ea7f98cc,2024-11-19
Pulp Fiction,Quentin Tarantino,Crime,Thriller,John Travolta,1994,4.3,kas17,3.0,a good movie but god imagine my fucking disappointment when i found out the movie wasn't all about mia wallace nobody cares about you bruce willis,https://a.ltrbxd.com/resized/film-poster/5/1/4/4/4/51444-pulp-fiction-0-230-0-345-crop.jpg?v=dee19a8077,2024-11-20
Whiplash,Damien Chazelle,Drama,Music,Miles Teller,2014,4.4,mommy longlegs,5.0,i had a dream that j.k. simmons yelled at me and i woke up crying,https://a.ltrbxd.com/resized/sm/upload/cl/dn/kr/f1/4C9LHDxMsoYI0S3iMPZdm3Oevwo-0-230-0-345-crop.jpg?v=d13ea36528,2024-11-21
Dune,Denis Villeneuve,Science Fiction,Adventure,Timothée Chalamet,2021,3.9,Karsten,4.5,got the 4D experience by forgetting to drink water today and watching this extremely dehydrated,https://a.ltrbxd.com/resized/sm/upload/nx/8b/vs/gc/cDbNAY0KM84cxXhmj8f0dLWza3t-0-230-0-345-crop.jpg?v=49eed12751,2024-11-22
Spider-Man: Into the Spider-Verse,Bob Persichetti,Adventure,Animation,Shameik Moore,2018,4.4,Ralph,5.0,"The best spider-man film. Beyond being funny, creative, and wonderfully animated, it truly has an understanding of the character of Spider-Man.",https://a.ltrbxd.com/resized/film-poster/2/5/1/9/4/3/251943-spider-man-into-the-spider-verse-0-230-0-345-crop.jpg?v=538fe0ada6,2024-11-23
Get Out,Jordan Peele,Horror,Mystery,Daniel Kaluuya,2017,4.2,mememily,4.5,"my favorite commentary that I've read about this movie was from Rian Johnson who said ""I love that if the movie Get Out existed in the world of Get Out, the parents would have told Chris how much they loved Get Out""",https://a.ltrbxd.com/resized/film-poster/3/5/3/1/1/7/353117-get-out-0-230-0-345-crop.jpg?v=136acec030,2024-11-24
Midsommar,Ari Aster,Mystery,Drama,Florence Pugh,2019,3.8,andrea,5.0,i am SO glad ari aster clearly never went to therapy,https://a.ltrbxd.com/resized/film-poster/4/5/9/5/6/4/459564-midsommar-0-230-0-345-crop.jpg?v=ed7b8ded1f,2024-11-25
The Batman,Matt Reeves,Crime,Mystery,Robert Pattinson,2022,4.0,nick wibert,4.0,I just love how fucking disgusting Bruce looks in this. Nasty ass stringy ass translucently pale goth boy in his dank disgusting batcave hunched over his computer with bloodshot eyes and black eye paint scrolling through footage of the previous night and journaling his fucked up thoughts. When he finally emerges from the cave to talk to Alfred and gets disturbed by the natural sunlight and has to put on sunglasses I wanted to get up and cheer. Yeah that’s right put on those sunglasses you little freak. Also he’s definitely a virgin based on how he composes himself around Catwoman. Fucking fantastic movie,https://a.ltrbxd.com/resized/film-poster/3/4/8/9/1/4/348914-the-batman-0-230-0-345-crop.jpg?v=ec12a8b7ce,2024-11-26
Knives Out,Rian Johnson,Mystery,Comedy,Daniel Craig,2019,4.0,Patrick Willems,4.0,A movie as good as its sweaters (the sweaters are excellent),https://a.ltrbxd.com/resized/film-poster/4/7/5/3/7/0/475370-knives-out-0-230-0-345-crop.jpg?v=7da76d742c,2024-11-27
The Dark Knight,Christopher Nolan,Action,Drama,Christian Bale,2008,4.5,cinemacl🎃wn,5.0,"If you do not like this movie, I do not like you.",https://a.ltrbxd.com/resized/sm/upload/78/y5/zg/ej/oefdD26aey8GPdx7Rm45PNncJdU-0-230-0-345-crop.jpg?v=2d0ce4be25,2024-11-28
The Truman Show,Peter Weir,Comedy,Drama,Jim Carrey,1998,4.2,shay,5.0,if i lived in a town where everyone looked like a republican i'd wanna leave too,https://a.ltrbxd.com/resized/sm/upload/xx/io/jp/45/the-truman-show-0-230-0-345-crop.jpg?v=704ba393f7,2024-11-29
